DATE,POPTHM
01-01-2000,281083
01-02-2000,281299
01-03-2000,281531
01-04-2000,281763
01-05-2000,281996
01-06-2000,282247
01-07-2000,282504
01-08-2000,282769
01-09-2000,283033
01-10-2000,283285
01-11-2000,283523
01-12-2000,283748
01-01-2001,283960
01-02-2001,284166
01-03-2001,284380
01-04-2001,284602
01-05-2001,284834
01-06-2001,285076
01-07-2001,285324
01-08-2001,285584
01-09-2001,285842
01-10-2001,286086
01-11-2001,286315
01-12-2001,286533
01-01-2002,286739
01-02-2002,286935
01-03-2002,287131
01-04-2002,287343
01-05-2002,287571
01-06-2002,287808
01-07-2002,288051
01-08-2002,288303
01-09-2002,288554
01-10-2002,288794
01-11-2002,289012
01-12-2002,289214
01-01-2003,289412
01-02-2003,289606
01-03-2003,289809
01-04-2003,290024
01-05-2003,290250
01-06-2003,290484
01-07-2003,290726
01-08-2003,290974
01-09-2003,291222
01-10-2003,291463
01-11-2003,291677
01-12-2003,291868
01-01-2004,292046
01-02-2004,292230
01-03-2004,292434
01-04-2004,292651
01-05-2004,292872
01-06-2004,293103
01-07-2004,293350
01-08-2004,293603
01-09-2004,293857
01-10-2004,294104
01-11-2004,294337
01-12-2004,294561
01-01-2005,294768
01-02-2005,294955
01-03-2005,295149
01-04-2005,295359
01-05-2005,295582
01-06-2005,295824
01-07-2005,296077
01-08-2005,296338
01-09-2005,296606
01-10-2005,296857
01-11-2005,297089
01-12-2005,297311
01-01-2006,297526
01-02-2006,297734
01-03-2006,297950
01-04-2006,298170
01-05-2006,298401
01-06-2006,298653
01-07-2006,298910
01-08-2006,299178
01-09-2006,299452
01-10-2006,299710
01-11-2006,299950
01-12-2006,300178
01-01-2007,300398
01-02-2007,300608
01-03-2007,300823
01-04-2007,301045
01-05-2007,301278
01-06-2007,301528
01-07-2007,301790
01-08-2007,302064
01-09-2007,302334
01-10-2007,302590
01-11-2007,302834
01-12-2007,303062
01-01-2008,303280
01-02-2008,303494
01-03-2008,303707
01-04-2008,303926
01-05-2008,304157
01-06-2008,304396
01-07-2008,304646
01-08-2008,304903
01-09-2008,305158
01-10-2008,305403
01-11-2008,305620
01-12-2008,305827
01-01-2009,306035
01-02-2009,306237
01-03-2009,306438
