DATE,MEDCPIM158SFRBCLE
01-10-2017,2.424963024
01-11-2017,2.420392959
01-12-2017,2.955747189
01-01-2018,4.170000418
01-02-2018,2.013279346
01-03-2018,1.961900074
01-04-2018,2.932009148
01-05-2018,2.981832551
01-06-2018,2.632117889
01-07-2018,2.111493914
01-08-2018,2.296711287
01-09-2018,2.333723356
01-10-2018,2.606262687
01-11-2018,3.723763602
01-12-2018,2.911777015
01-01-2019,3.230993906
01-02-2019,3.024512124
01-03-2019,3.207144496
01-04-2019,2.277496887
01-05-2019,2.558535146
01-06-2019,3.807345214
01-07-2019,2.469047995
01-08-2019,2.46282908
01-09-2019,3.150655203
01-10-2019,2.525719414
01-11-2019,3.450270196
01-12-2019,2.612330464
01-01-2020,3.206975634
01-02-2020,2.708630536
01-03-2020,2.966544381
01-04-2020,1.968373502
01-05-2020,2.895044266
01-06-2020,1.680370173
01-07-2020,3.610829473
01-08-2020,2.235723277
01-09-2020,1.133933044
01-10-2020,1.838456241
01-11-2020,1.218910525
01-12-2020,1.624482143
01-01-2021,1.52430226
01-02-2021,2.810390714
01-03-2021,2.356651258
01-04-2021,2.745814944
01-05-2021,3.338473539
01-06-2021,3.169493271
01-07-2021,3.581045469
01-08-2021,4.022037671
01-09-2021,5.054275017
01-10-2021,7.662852587
01-11-2021,6.245070449
01-12-2021,5.611797059
01-01-2022,6.992826311
01-02-2022,6.519554583
01-03-2022,6.350249411
01-04-2022,6.030320223
01-05-2022,7.503944114
01-06-2022,7.924919184
01-07-2022,6.423611019
01-08-2022,8.463917466
01-09-2022,8.382964302
01-10-2022,6.507748044
01-11-2022,5.765770218
01-12-2022,7.049161031
01-01-2023,8.142495355
01-02-2023,7.880495895
01-03-2023,4.907054528
01-04-2023,4.91159508
01-05-2023,4.655686343
